,HE,Noise Reduction,Stop Loss,VA Stop Loss,# of Trade,Profit Rate,Strike Rate,PnL,Max Drawdown,Sharpe Ratio
0,0.0,0.0,0.0,0.0,40.0,0.10721549600000056,45.0,10721.55,9.075439629838797,5.905453156711613
1,0.0,0.0,0.0,0.0,38.0,0.09573658299999734,50.0,9573.66,15.60662215642371,0.6087065939731855
