Date,Open,High,Low,Close,Volume
2021-05-11 13:00:00,412.5,414.89,412.04,414.8822,14304097
2021-05-11 14:00:00,414.9,415.27,410.06,411.83,21287886
2021-05-11 15:00:00,411.82,414.36,410.77,414.03,12317464
2021-05-11 16:00:00,414.03,414.45,412.043,412.5375,7466620
2021-05-11 17:00:00,412.52,414.735,412.355,414.2257,8744550
2021-05-11 18:00:00,414.23,414.78,413.14,414.1,9111608
2021-05-11 19:00:00,414.09,415.03,412.66,414.27,19736918
2021-05-12 13:00:00,411.67,412.59,410.91,411.13,9800722
2021-05-12 14:00:00,411.12,411.52,408.74,409.43,15417409
2021-05-12 15:00:00,409.43,410.14,407.565,407.79,10297453
2021-05-12 16:00:00,407.8,408.18,406.72,407.77,10888742
2021-05-12 17:00:00,407.75,408.61,406.86,407.28,9496925
2021-05-12 18:00:00,407.27,408.25,406.32,407.47,10184598
2021-05-12 19:00:00,407.44,407.6,404.0,405.44,32603734
2021-05-13 14:00:00,410.05,412.02,410.05,411.81,14155137
2021-05-13 15:00:00,411.82,411.93,409.2101,409.665,11207252
2021-05-13 16:00:00,409.67,411.13,409.47,409.8499,7572137
2021-05-13 17:00:00,409.85,410.44,407.84,408.8,11568657
2021-05-13 18:00:00,408.82,411.7,408.7599,411.05,10961376
2021-05-13 19:00:00,411.05,412.35,410.21,410.25,20862050
2021-05-14 13:00:00,413.009,414.92,412.73,414.92,7284578
2021-05-14 14:00:00,414.9,415.37,414.0714,415.28,10938059
2021-05-14 15:00:00,415.28,415.75,414.84,415.39,4990922
2021-05-14 16:00:00,415.39,416.27,415.32,416.24,3562037
2021-05-14 17:00:00,416.2389,416.5206,416.07,416.43,3781481
2021-05-14 18:00:00,416.43,417.49,416.31,417.2199,6029595
2021-05-14 19:00:00,417.215,417.38,416.3,416.55,20059958
2021-05-17 13:00:00,414.9,416.39,414.48,414.94,7486941
2021-05-17 14:00:00,414.92,415.585,413.94,414.89,9337915
2021-05-17 15:00:00,414.86,415.08,413.81,414.16,6936391
2021-05-17 16:00:00,414.14,415.12,413.84,414.47,4500138
2021-05-17 17:00:00,414.46,414.72,413.36,414.025,4864890
2021-05-17 18:00:00,414.03,415.22,413.87,415.17,4787154
2021-05-17 19:00:00,415.17,415.7,414.765,415.54,11788547
2021-05-18 13:00:00,415.87,416.06,414.82,415.11,5993724
2021-05-18 14:00:00,415.1,415.98,414.46,415.71,7281221
2021-05-18 15:00:00,415.7,415.8199,414.86,414.89,4164620
2021-05-18 16:00:00,414.89,415.52,414.75,415.27,3057427
2021-05-18 17:00:00,415.27,415.59,414.96,414.99,3168754
2021-05-18 18:00:00,414.97,415.1,413.1,413.99,6830287
2021-05-18 19:00:00,413.99,414.59,411.77,411.98,14362144
2021-05-19 14:00:00,406.9,407.41,405.33,407.06,16534568
2021-05-19 15:00:00,407.05,408.43,406.45,408.33,8870307
2021-05-19 16:00:00,408.32,409.42,407.953,409.16,5632124
2021-05-19 17:00:00,409.14,410.25,408.925,409.4,5020898
2021-05-19 18:00:00,409.41,410.56,407.59,408.18,13410154
2021-05-19 19:00:00,408.19,411.05,407.6,410.89,19471153
2021-05-20 13:00:00,411.29,413.26,411.2,413.09,7406892
2021-05-20 14:00:00,413.09,414.18,412.965,413.97,8046853
2021-05-20 15:00:00,413.98,416.14,413.97,415.56,7133643
2021-05-20 16:00:00,415.56,415.6,414.1,414.8311,6951580
2021-05-20 17:00:00,414.83,415.5499,414.57,415.12,4265848
2021-05-20 18:00:00,415.13,415.85,415.09,415.59,4975687
2021-05-20 19:00:00,415.59,416.625,414.92,415.25,19519452
2021-05-21 13:00:00,416.58,418.19,416.49,418.17,7378900
2021-05-21 14:00:00,418.18,418.2,416.34,417.06,8883874
2021-05-21 15:00:00,417.07,417.27,415.85,415.9596,4828622
2021-05-21 16:00:00,415.95,416.22,414.45,414.89,6682037
2021-05-21 17:00:00,414.88,415.94,414.81,415.72,3982031
2021-05-21 18:00:00,415.73,416.19,414.96,415.735,4837633
2021-05-21 19:00:00,415.735,416.25,414.7,414.95,14363948
2021-05-24 13:00:00,417.22,418.21,417.08,418.21,5294836
2021-05-24 14:00:00,418.2,419.5,418.2,419.3,7022669
2021-05-24 15:00:00,419.3,419.68,419.09,419.23,3202802
2021-05-24 16:00:00,419.225,419.4485,418.91,419.2819,2761342
2021-05-24 17:00:00,419.29,419.84,419.14,419.7481,2532549
2021-05-24 18:00:00,419.75,420.32,419.74,420.0519,4271941
2021-05-24 19:00:00,420.055,420.28,418.94,419.13,12885273
2021-05-25 14:00:00,419.29,419.66,418.9401,419.44,5747615
2021-05-25 15:00:00,419.435,419.5,417.94,418.85,6153363
2021-05-25 16:00:00,418.86,419.44,418.71,419.1119,3451114
2021-05-25 17:00:00,419.1,419.22,418.38,418.76,3708359
2021-05-25 18:00:00,418.76,418.83,418.2,418.359,4582563
2021-05-25 19:00:00,418.35,418.73,417.62,418.25,11295757
2021-05-26 13:00:00,419.28,419.32,417.81,417.9,4026342
2021-05-26 14:00:00,417.91,418.96,417.76,418.9099,4806081
2021-05-26 15:00:00,418.91,419.35,418.69,419.26,3993566
2021-05-26 16:00:00,419.26,419.49,419.1701,419.3819,2439298
2021-05-26 17:00:00,419.38,419.61,418.44,418.69,4174770
2021-05-26 18:00:00,418.7,419.18,418.64,418.84,3221232
2021-05-26 19:00:00,418.84,419.18,418.56,419.0499,10579767
2021-05-27 13:00:00,419.44,420.63,419.41,420.1,5637382
2021-05-27 14:00:00,420.1,420.72,419.79,420.103,6691506
2021-05-27 15:00:00,420.12,420.38,419.46,420.28,4183826
2021-05-27 16:00:00,420.28,420.43,419.98,420.045,2372728
2021-05-27 17:00:00,420.0489,420.1901,419.41,419.7089,3186224
2021-05-27 18:00:00,419.71,419.75,419.2,419.6011,5375413
2021-05-27 19:00:00,419.6,420.1,419.12,419.22,15349768
2021-05-28 14:00:00,420.86,421.04,419.9655,420.4681,5421558
2021-05-28 15:00:00,420.465,421.04,420.35,420.95,3490679
2021-05-28 16:00:00,420.95,421.25,420.835,420.89,2791888
2021-05-28 17:00:00,420.88,421.0036,420.5301,420.69,3574159
2021-05-28 18:00:00,420.695,420.91,420.47,420.7689,3839733
2021-05-28 19:00:00,420.77,420.96,419.79,420.03,14237327
2021-06-01 13:00:00,422.1,422.72,420.98,421.3,6566793
2021-06-01 14:00:00,421.3,421.5101,419.44,419.83,9098899
2021-06-01 15:00:00,419.81,420.475,419.56,420.29,4021958
2021-06-01 16:00:00,420.3,420.36,419.69,419.825,2976347
2021-06-01 17:00:00,419.83,419.83,419.2,419.6015,3132949
2021-06-01 18:00:00,419.6,420.38,419.46,420.33,4092110
2021-06-01 19:00:00,420.33,420.36,419.45,419.63,8498204
2021-06-02 13:00:00,420.46,420.68,419.55,420.41,4041078
2021-06-02 14:00:00,420.4,420.98,420.24,420.6952,4931946
2021-06-02 15:00:00,420.71,421.23,420.5,420.8435,3189754
2021-06-02 16:00:00,420.85,420.91,420.13,420.435,2508331
2021-06-02 17:00:00,420.435,420.53,419.57,419.79,3572531
2021-06-02 18:00:00,419.785,420.04,419.29,419.9,3541679
2021-06-02 19:00:00,419.89,420.47,419.58,420.3601,10416709
2021-06-03 14:00:00,417.16,419.3511,417.03,419.325,9382250
2021-06-03 15:00:00,419.33,419.99,419.07,419.425,7001345
2021-06-03 16:00:00,419.43,419.75,418.93,419.56,4193755
2021-06-03 17:00:00,419.5704,419.9,418.88,419.5301,4070216
2021-06-03 18:00:00,419.53,419.61,418.74,418.765,3643007
2021-06-03 19:00:00,418.76,419.45,418.73,418.82,7899656
2021-06-04 13:00:00,420.56,421.5,420.42,421.25,5099723
2021-06-04 14:00:00,421.25,421.87,421.23,421.715,6066206
2021-06-04 15:00:00,421.72,422.02,421.46,421.585,3359571
2021-06-04 16:00:00,421.5899,421.895,421.47,421.88,1868687
2021-06-04 17:00:00,421.88,422.21,421.77,422.155,2335624
2021-06-04 18:00:00,422.155,422.65,422.15,422.495,4077509
2021-06-04 19:00:00,422.49,422.92,422.34,422.57,11671223
2021-06-07 13:00:00,422.87,422.87,421.93,422.19,4211169
2021-06-07 14:00:00,422.2,422.2,421.29,421.725,4847252
2021-06-07 15:00:00,421.73,421.91,421.24,421.52,4537699
2021-06-07 16:00:00,421.515,421.82,421.43,421.6733,2607076
2021-06-07 17:00:00,421.675,421.8,421.19,421.235,3346893
2021-06-07 18:00:00,421.237,421.965,421.2,421.83,3025944
2021-06-07 19:00:00,421.82,422.4,421.802,422.23,10022793
2021-06-08 13:00:00,423.07,423.32,421.64,421.77,4652081
2021-06-08 14:00:00,421.75,422.26,421.54,421.88,4911347
2021-06-08 15:00:00,421.89,422.22,420.32,422.025,7762157
2021-06-08 16:00:00,422.02,422.65,421.92,422.57,2976126
2021-06-08 17:00:00,422.57,422.655,422.17,422.23,2322745
2021-06-08 18:00:00,422.24,422.79,422.14,422.745,2563107
2021-06-08 19:00:00,422.75,422.94,422.2425,422.27,8148697
2021-06-09 14:00:00,422.84,423.0699,422.32,422.8382,4342144
2021-06-09 15:00:00,422.83,423.12,422.21,422.475,3226431
2021-06-09 16:00:00,422.47,422.7901,422.39,422.74,2030746
2021-06-09 17:00:00,422.75,422.9717,422.52,422.64,2506001
2021-06-09 18:00:00,422.65,422.88,422.36,422.43,3416120
2021-06-09 19:00:00,422.43,422.435,421.41,421.62,9583035
2021-06-10 13:00:00,422.8,424.52,422.72,424.25,5734188
2021-06-10 14:00:00,424.25,424.63,421.55,422.465,7820826
2021-06-10 15:00:00,422.46,423.52,422.13,423.46,4410431
2021-06-10 16:00:00,423.47,423.92,423.1,423.91,3254742
2021-06-10 17:00:00,423.9,424.09,423.525,424.08,2875723
2021-06-10 18:00:00,424.08,424.1,423.38,423.8,2912786
2021-06-10 19:00:00,423.79,423.83,423.17,423.59,8811588
2021-06-11 13:00:00,424.29,424.49,423.79,423.98,3572088
2021-06-11 14:00:00,423.97,424.26,423.2209,423.37,5143268
2021-06-11 15:00:00,423.35,423.62,423.025,423.355,3332414
2021-06-11 16:00:00,423.36,423.455,422.82,423.19,2720369
2021-06-11 17:00:00,423.1801,423.535,423.02,423.48,2156064
2021-06-11 18:00:00,423.485,423.85,423.485,423.7781,2586453
2021-06-11 19:00:00,423.77,424.41,423.41,424.32,8376057
2021-06-14 13:00:00,424.24,424.45,423.6899,423.925,3050562
2021-06-14 14:00:00,423.93,424.01,423.23,423.74,4231102
2021-06-14 15:00:00,423.74,423.99,423.22,423.4182,3067158
2021-06-14 16:00:00,423.4181,423.6,423.11,423.165,2471420
2021-06-14 17:00:00,423.17,423.52,423.1,423.325,1991737
2021-06-14 18:00:00,423.33,423.5993,423.16,423.54,2835021
2021-06-14 19:00:00,423.54,425.29,423.42,425.29,9891297
2021-06-15 14:00:00,424.7,424.79,424.01,424.0501,4518210
2021-06-15 15:00:00,424.04,424.35,423.54,423.93,3695876
2021-06-15 16:00:00,423.93,424.49,423.92,424.22,2710482
2021-06-15 17:00:00,424.23,424.74,423.9301,424.65,2684016
2021-06-15 18:00:00,424.645,425.01,424.42,424.76,3758224
2021-06-15 19:00:00,424.76,424.98,424.03,424.5,11764607
2021-06-16 13:00:00,424.4,424.87,424.13,424.3088,2962317
2021-06-16 14:00:00,424.3,424.58,424.05,424.215,3229009
2021-06-16 15:00:00,424.21,424.57,424.105,424.23,1970007
2021-06-16 16:00:00,424.235,424.34,423.23,423.51,3393381
2021-06-16 17:00:00,423.515,423.62,422.6,423.135,3976395
2021-06-16 18:00:00,423.13,423.13,419.92,421.6611,22643156
2021-06-16 19:00:00,421.67,423.59,421.41,422.12,16818739
2021-06-17 13:00:00,420.78,422.9,420.7,421.835,6830791
2021-06-17 14:00:00,421.84,422.9325,421.1,421.8899,8354469
2021-06-17 15:00:00,421.88,422.62,421.17,421.28,6350854
2021-06-17 16:00:00,421.29,421.415,419.32,421.115,8688910
2021-06-17 17:00:00,421.12,422.62,421.07,422.19,5861025
2021-06-17 18:00:00,422.18,422.36,421.64,421.81,4543216
2021-06-17 19:00:00,421.815,423.02,421.5827,421.98,11713142
2021-06-18 14:00:00,417.22,417.455,415.85,416.195,11232551
2021-06-18 15:00:00,416.19,416.9,415.585,416.7699,8345840
2021-06-18 16:00:00,416.75,417.265,416.31,416.715,3969455
2021-06-18 17:00:00,416.71,417.24,416.065,416.635,4164428
2021-06-18 18:00:00,416.63,417.13,415.72,415.8699,4773411
2021-06-18 19:00:00,415.87,416.94,414.7,415.01,17488961
2021-06-21 14:00:00,417.88,420.26,417.81,420.03,10706385
2021-06-21 15:00:00,420.03,420.39,419.67,420.18,5866327
2021-06-21 16:00:00,420.19,420.34,419.83,419.89,3131739
2021-06-21 17:00:00,419.89,420.99,419.8019,420.75,4089505
2021-06-21 18:00:00,420.75,420.91,420.36,420.6404,4376820
2021-06-21 19:00:00,420.64,421.06,420.32,420.84,13614850
2021-06-22 13:00:00,420.78,421.22,420.16,420.4,5285432
2021-06-22 14:00:00,420.42,421.89,420.08,421.87,6652066
2021-06-22 15:00:00,421.88,422.63,421.76,422.03,4652216
2021-06-22 16:00:00,422.05,422.48,422.05,422.3,2730026
2021-06-22 17:00:00,422.28,422.535,422.13,422.4101,2568027
2021-06-22 18:00:00,422.41,423.02,422.23,422.92,4608744
2021-06-22 19:00:00,422.93,424.0,422.91,423.04,13457969
2021-06-23 13:00:00,423.57,423.8,423.05,423.64,5029286
2021-06-23 14:00:00,423.64,424.05,423.26,423.58,5524301
2021-06-23 15:00:00,423.58,423.71,422.92,423.3,3664952
2021-06-23 16:00:00,423.29,423.46,422.69,423.145,3035998
2021-06-23 17:00:00,423.16,423.6,423.07,423.56,2622809
2021-06-23 18:00:00,423.56,423.5681,423.18,423.37,2943173
2021-06-23 19:00:00,423.37,423.82,422.51,422.6,10067248
2021-06-24 14:00:00,424.93,425.53,424.73,425.0,4905742
2021-06-24 15:00:00,425.01,425.19,424.62,424.775,2782560
2021-06-24 16:00:00,424.7819,425.335,424.76,425.19,3284085
2021-06-24 17:00:00,425.2,425.53,424.77,425.13,3400694
2021-06-24 18:00:00,425.13,425.55,425.11,425.395,3084548
2021-06-24 19:00:00,425.39,425.42,424.85,425.0899,9512738
2021-06-25 13:00:00,425.83,426.11,425.55,425.84,4763035
2021-06-25 14:00:00,425.84,426.48,425.6101,425.9,4836721
2021-06-25 15:00:00,425.9,426.36,425.85,426.3,2803773
2021-06-25 16:00:00,426.2902,426.38,426.08,426.2816,2028005
2021-06-25 17:00:00,426.29,426.32,425.9511,426.25,2932862
2021-06-25 18:00:00,426.26,426.62,426.14,426.54,4169713
2021-06-25 19:00:00,426.55,427.0943,426.41,426.56,17017701
2021-06-28 13:00:00,427.24,427.39,426.02,426.69,4170517
2021-06-28 14:00:00,426.69,426.87,426.34,426.5,3678067
2021-06-28 15:00:00,426.51,426.79,426.15,426.5325,3034509
2021-06-28 16:00:00,426.54,426.65,426.17,426.18,2270838
2021-06-28 17:00:00,426.18,426.52,425.89,426.5,3805473
2021-06-28 18:00:00,426.49,427.0,426.47,426.92,3435710
2021-06-28 19:00:00,426.93,427.65,426.755,427.48,10708037
2021-06-29 13:00:00,427.59,428.4,427.53,428.17,4115484
2021-06-29 14:00:00,428.17,428.56,427.94,428.165,4394240
2021-06-29 15:00:00,428.165,428.25,427.845,427.995,3443587
2021-06-29 16:00:00,427.99,428.09,427.77,428.01,2043620
2021-06-29 17:00:00,428.02,428.07,427.64,427.87,1597135
2021-06-29 18:00:00,427.87,428.06,427.13,427.54,3645351
2021-06-29 19:00:00,427.54,427.81,427.3,427.67,7279587
2021-06-30 14:00:00,427.55,428.3175,427.52,428.21,4811607
2021-06-30 15:00:00,428.215,428.38,427.8,427.97,3800567
2021-06-30 16:00:00,427.97,428.18,427.72,428.02,3762850
2021-06-30 17:00:00,428.01,428.1,427.7819,427.89,2235875
2021-06-30 18:00:00,427.9,428.05,427.58,427.92,3790772
2021-06-30 19:00:00,427.93,428.78,427.875,428.07,13084751
2021-07-01 13:00:00,428.81,429.485,428.7,429.3325,4616470
2021-07-01 14:00:00,429.34,429.74,429.1,429.48,5372353
2021-07-01 15:00:00,429.48,429.71,428.86,429.54,4517581
2021-07-01 16:00:00,429.54,429.66,429.41,429.5,3194045
2021-07-01 17:00:00,429.49,430.2099,429.43,429.91,3388634
2021-07-01 18:00:00,429.92,430.41,429.8298,430.39,3598362
2021-07-01 19:00:00,430.38,430.6,430.04,430.47,13011901
2021-07-02 13:00:00,431.66,431.99,431.33,431.81,4542602
2021-07-02 14:00:00,431.815,431.97,431.61,431.9,4353247
2021-07-02 15:00:00,431.89,432.65,431.84,432.45,4113312
2021-07-02 16:00:00,432.45,433.3,432.34,433.27,3427206
2021-07-02 17:00:00,433.2601,433.49,433.03,433.3101,4174122
2021-07-02 18:00:00,433.3125,433.57,433.18,433.2675,3573789
2021-07-02 19:00:00,433.26,434.1,433.19,433.75,15041875
2021-07-06 14:00:00,432.97,433.05,431.0,431.01,7466256
2021-07-06 15:00:00,431.02,431.48,430.45,431.16,7341402
2021-07-06 16:00:00,431.14,431.145,430.01,431.03,7378237
2021-07-06 17:00:00,431.03,431.81,430.92,431.74,5749942
2021-07-06 18:00:00,431.745,432.45,431.67,432.11,5242936
2021-07-06 19:00:00,432.11,433.45,432.065,432.9,12029703
2021-07-07 13:00:00,433.22,434.19,433.2,433.72,5542916
2021-07-07 14:00:00,433.74,433.8396,431.51,432.65,9858392
2021-07-07 15:00:00,432.64,434.16,432.285,433.785,6622108
2021-07-07 16:00:00,433.78,434.45,433.77,434.05,3847753
2021-07-07 17:00:00,434.05,434.2275,433.6119,433.88,3027244
2021-07-07 18:00:00,433.8896,434.75,433.74,434.48,6596098
2021-07-07 19:00:00,434.48,434.76,434.095,434.43,10473238
